codepoint	unicode_name	suggested_subsets
U+000D	UNASSIGNED	adlam,ahom,anatolian-hieroglyphs,arabic,armenian,avestan,balinese,bamum,bassa-vah,batak,bengali,bhaiksuki,brahmi,braille,buginese,buhid,canadian-aboriginal,carian,caucasian-albanian,chakma,cham,cherokee,chinese-hongkong,chinese-simplified,chinese-traditional,chorasmian,coptic,cuneiform,cypriot,cypro-minoan,cyrillic,cyrillic-ext,deseret,devanagari,dives-akuru,dogra,duployan,egyptian-hieroglyphs,elbasan,elymaic,ethiopic,garay,georgian,glagolitic,gothic,grantha,greek,greek-ext,gujarati,gunjala-gondi,gurmukhi,gurung-khema,hanifi-rohingya,hanunoo,hatran,hebrew,imperial-aramaic,indic-siyaq-numbers,inscriptional-pahlavi,inscriptional-parthian,japanese,javanese,kaithi,kana-extended,kannada,kawi,kayah-li,kharoshthi,khitan-small-script,khmer,khojki,khudawadi,kirat-rai,korean,lao,latin,latin-ext,lepcha,limbu,linear-a,linear-b,lisu,lycian,lydian,mahajani,makasar,malayalam,mandaic,manichaean,marchen,masaram-gondi,math,mayan-numerals,medefaidrin,meetei-mayek,mende-kikakui,meroitic,meroitic-cursive,meroitic-hieroglyphs,miao,modi,mongolian,mro,multani,music,myanmar,nabataean,nag-mundari,nandinagari,new-tai-lue,newa,nko,nushu,nyiakeng-puachue-hmong,ogham,ol-chiki,ol-onal,old-hungarian,old-italic,old-north-arabian,old-permic,old-persian,old-sogdian,old-south-arabian,old-turkic,old-uyghur,oriya,osage,osmanya,ottoman-siyaq-numbers,pahawh-hmong,palmyrene,pau-cin-hau,phags-pa,phoenician,psalter-pahlavi,rejang,runic,samaritan,saurashtra,sharada,shavian,siddham,signwriting,sinhala,sogdian,sora-sompeng,soyombo,sundanese,sunuwar,syloti-nagri,symbols,symbols2,syriac,tagalog,tagbanwa,tai-le,tai-tham,tai-viet,takri,tamil,tamil-supplement,tangsa,tangut,telugu,thaana,thai,tibetan,tifinagh,tirhuta,todhri,toto,tulu-tigalari,ugaritic,vai,vietnamese,vithkuqi,wancho,warang-citi,yezidi,yi,zanabazar-square,znamenny
U+0020	SPACE	adlam,ahom,anatolian-hieroglyphs,arabic,armenian,avestan,balinese,bamum,bassa-vah,batak,bengali,bhaiksuki,brahmi,braille,buginese,buhid,canadian-aboriginal,carian,caucasian-albanian,chakma,cham,cherokee,chinese-hongkong,chinese-simplified,chinese-traditional,chorasmian,coptic,cuneiform,cypriot,cypro-minoan,cyrillic,cyrillic-ext,deseret,devanagari,dives-akuru,dogra,duployan,egyptian-hieroglyphs,elbasan,elymaic,ethiopic,garay,georgian,glagolitic,gothic,grantha,greek,greek-ext,gujarati,gunjala-gondi,gurmukhi,gurung-khema,hanifi-rohingya,hanunoo,hatran,hebrew,imperial-aramaic,indic-siyaq-numbers,inscriptional-pahlavi,inscriptional-parthian,japanese,javanese,kaithi,kana-extended,kannada,kawi,kayah-li,kharoshthi,khitan-small-script,khmer,khojki,khudawadi,kirat-rai,korean,lao,latin,latin-ext,lepcha,limbu,linear-a,linear-b,lisu,lycian,lydian,mahajani,makasar,malayalam,mandaic,manichaean,marchen,masaram-gondi,math,mayan-numerals,medefaidrin,meetei-mayek,mende-kikakui,meroitic,meroitic-cursive,meroitic-hieroglyphs,miao,modi,mongolian,mro,multani,music,myanmar,nabataean,nag-mundari,nandinagari,new-tai-lue,newa,nko,nushu,nyiakeng-puachue-hmong,ogham,ol-chiki,ol-onal,old-hungarian,old-italic,old-north-arabian,old-permic,old-persian,old-sogdian,old-south-arabian,old-turkic,old-uyghur,oriya,osage,osmanya,ottoman-siyaq-numbers,pahawh-hmong,palmyrene,pau-cin-hau,phags-pa,phoenician,psalter-pahlavi,rejang,runic,samaritan,saurashtra,sharada,shavian,siddham,signwriting,sinhala,sogdian,sora-sompeng,soyombo,sundanese,sunuwar,syloti-nagri,symbols,symbols2,syriac,tagalog,tagbanwa,tai-le,tai-tham,tai-viet,takri,tamil,tamil-supplement,tangsa,tangut,telugu,thaana,thai,tibetan,tifinagh,tirhuta,todhri,toto,tulu-tigalari,ugaritic,vai,vietnamese,vithkuqi,wancho,warang-citi,yezidi,yi,zanabazar-square,znamenny
U+0021	EXCLAMATION MARK	adlam,cham,gunjala-gondi,khmer,latin,masaram-gondi,math,mongolian,syriac,thaana
U+0022	QUOTATION MARK	adlam,cham,khmer,latin,masaram-gondi,math,mongolian,wancho
U+0023	NUMBER SIGN	adlam,khmer,latin,math,symbols
U+0024	DOLLAR SIGN	adlam,khmer,latin,math
U+0025	PERCENT SIGN	adlam,gunjala-gondi,khmer,latin,masaram-gondi,math
U+0026	AMPERSAND	adlam,khmer,latin,math
U+0027	APOSTROPHE	adlam,cham,gunjala-gondi,khmer,latin,masaram-gondi,math,wancho,warang-citi
U+0028	LEFT PARENTHESIS	adlam,cham,gunjala-gondi,khmer,latin,masaram-gondi,math,mongolian,syriac,thaana,wancho
U+0029	RIGHT PARENTHESIS	adlam,cham,gunjala-gondi,khmer,latin,masaram-gondi,math,mongolian,syriac,thaana,wancho
U+002A	ASTERISK	adlam,gunjala-gondi,khmer,latin,masaram-gondi,math,symbols,syriac
U+002B	PLUS SIGN	adlam,gunjala-gondi,khmer,latin,masaram-gondi,math,syriac
U+002C	COMMA	adlam,cham,coptic,gunjala-gondi,khmer,latin,masaram-gondi,math,nushu,thaana,wancho
U+002D	HYPHEN-MINUS	adlam,armenian,cham,coptic,gunjala-gondi,hebrew,kaithi,kayah-li,kharoshthi,khmer,latin,lisu,masaram-gondi,math,mongolian,nushu,sora-sompeng,sundanese,syriac,wancho
U+002E	FULL STOP	adlam,avestan,cham,coptic,gunjala-gondi,khmer,latin,masaram-gondi,math,nushu,syriac,thaana,wancho
U+002F	SOLIDUS	adlam,cham,gunjala-gondi,khmer,latin,masaram-gondi,math,syriac,wancho
